sku,company_id,listing_title,category,list_price_idr
tokoraya_prod_0001,tokoraya,Laptop Kantor Pro #1,Elektronik,2776971
tokoraya_prod_0002,tokoraya,Celana Chino #2,Fashion,393187
tokoraya_prod_0003,tokoraya,Keripik Singkong #3,F&B,283612
tokoraya_prod_0004,tokoraya,Wadah Penyimpanan #4,Rumah Tangga,1085417
tokoraya_prod_0005,tokoraya,Set Peralatan Makan #5,Rumah Tangga,362579
tokoraya_prod_0006,tokoraya,Dispenser Galon #6,Rumah Tangga,1891749
tokoraya_prod_0007,tokoraya,Susu UHT Lokal #7,F&B,1603546
tokoraya_prod_0008,tokoraya,Susu UHT Lokal #8,F&B,1273392
tokoraya_prod_0009,tokoraya,Hijab Premium #9,Fashion,3601123
tokoraya_prod_0010,tokoraya,Minyak Goreng 2L #10,F&B,2838403
tokoraya_prod_0011,tokoraya,Minyak Goreng 2L #11,F&B,1689118
tokoraya_prod_0012,tokoraya,Sandal Kulit #12,Fashion,2324301
tokoraya_prod_0013,tokoraya,Batik Modern Pria #13,Fashion,3238183
tokoraya_prod_0014,tokoraya,Batik Modern Pria #14,Fashion,3250477
tokoraya_prod_0015,tokoraya,Dispenser Galon #15,Rumah Tangga,103184
tokoraya_prod_0016,tokoraya,Kopi Gayo 250g #16,F&B,377357
tokoraya_prod_0017,tokoraya,Kipas Angin Meja #17,Rumah Tangga,2019109
tokoraya_prod_0018,tokoraya,Sapu Serbaguna #18,Rumah Tangga,305594
tokoraya_prod_0019,tokoraya,Earphone Bluetooth Lokal #19,Elektronik,1775882
tokoraya_prod_0020,tokoraya,Susu UHT Lokal #20,F&B,3185086
tokoraya_prod_0021,tokoraya,Batik Modern Pria #21,Fashion,4263376
tokoraya_prod_0022,tokoraya,Batik Modern Pria #22,Fashion,4344010
tokoraya_prod_0023,tokoraya,Batik Modern Pria #23,Fashion,3106203
tokoraya_prod_0024,tokoraya,Vacuum Cleaner Mini #24,Rumah Tangga,4239284
tokoraya_prod_0025,tokoraya,Lampu LED Hemat #25,Rumah Tangga,2856464
tokoraya_prod_0026,tokoraya,Batik Modern Pria #26,Fashion,3826596
tokoraya_prod_0027,tokoraya,Celana Chino #27,Fashion,471699
tokoraya_prod_0028,tokoraya,Minyak Goreng 2L #28,F&B,764151
tokoraya_prod_0029,tokoraya,Keripik Singkong #29,F&B,2446526
tokoraya_prod_0030,tokoraya,Set Peralatan Makan #30,Rumah Tangga,621893
tokoraya_prod_0031,tokoraya,Lampu LED Hemat #31,Rumah Tangga,3357678
tokoraya_prod_0032,tokoraya,Teh Celup Melati #32,F&B,489237
tokoraya_prod_0033,tokoraya,Beras Premium 5kg #33,F&B,3985393
tokoraya_prod_0034,tokoraya,Laptop Kantor Pro #34,Elektronik,3706519
tokoraya_prod_0035,tokoraya,Susu UHT Lokal #35,F&B,3302176
tokoraya_prod_0036,tokoraya,Wadah Penyimpanan #36,Rumah Tangga,355864
tokoraya_prod_0037,tokoraya,Tas Ransel Kerja #37,Fashion,1007529
tokoraya_prod_0038,tokoraya,Dispenser Galon #38,Rumah Tangga,2325964
tokoraya_prod_0039,tokoraya,Sapu Serbaguna #39,Rumah Tangga,2656656
tokoraya_prod_0040,tokoraya,Beras Premium 5kg #40,F&B,451807
tokoraya_prod_0041,tokoraya,Sandal Kulit #41,Fashion,2123012
tokoraya_prod_0042,tokoraya,Laptop Kantor Pro #42,Elektronik,1874844
tokoraya_prod_0043,tokoraya,Tablet Belajar #43,Elektronik,2406210
tokoraya_prod_0044,tokoraya,Beras Premium 5kg #44,F&B,1229473
tokoraya_prod_0045,tokoraya,Sandal Kulit #45,Fashion,698146
tokoraya_prod_0046,tokoraya,Sambal Matah Botol #46,F&B,2024371
tokoraya_prod_0047,tokoraya,Sneakers Lokal Run #47,Fashion,609559
tokoraya_prod_0048,tokoraya,Sambal Matah Botol #48,F&B,2595699
tokoraya_prod_0049,tokoraya,Sambal Matah Botol #49,F&B,805528
tokoraya_prod_0050,tokoraya,Dispenser Galon #50,Rumah Tangga,839374
